,,,Level For F30
,,,1
,Infirmary,,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,,,,Building Time,Building Time,Building Time,Building Time,Building Time,Building Time
,FC5-1,56,24000000,[object Object],24000000,[object Object],4800000,[object Object],1200000,[object Object],40,[object Object],2,[object Object],,2,2,24,,181440,[object Object]
,FC5-2,57,24000000,[object Object],24000000,[object Object],4800000,[object Object],1200000,[object Object],40,[object Object],2,[object Object],,2,2,24,,181440,[object Object]
,FC5-3,58,24000000,[object Object],24000000,[object Object],4800000,[object Object],1200000,[object Object],40,[object Object],2,[object Object],,2,2,24,,181440,[object Object]
,FC5-4,59,24000000,[object Object],24000000,[object Object],4800000,[object Object],1200000,[object Object],40,[object Object],2,[object Object],,2,2,24,,181440,[object Object]
,FC6,60,24000000,[object Object],24000000,[object Object],4800000,[object Object],1200000,[object Object],20,[object Object],4,[object Object],,2,2,24,,181440,[object Object]
,FC6-1,61,27000000,[object Object],27000000,[object Object],5400000,[object Object],1300000,[object Object],48,[object Object],3,[object Object],,2,12,28,,217680,[object Object]
,FC6-2,62,27000000,[object Object],27000000,[object Object],5400000,[object Object],1300000,[object Object],48,[object Object],3,[object Object],,2,12,28,,217680,[object Object]
,FC6-3,63,27000000,[object Object],27000000,[object Object],5400000,[object Object],1300000,[object Object],48,[object Object],3,[object Object],,2,12,28,,217680,[object Object]
,FC6-4,64,27000000,[object Object],27000000,[object Object],5400000,[object Object],1300000,[object Object],48,[object Object],3,[object Object],,2,12,28,,217680,[object Object]
,FC7,65,27000000,[object Object],27000000,[object Object],5400000,[object Object],1300000,[object Object],24,[object Object],6,[object Object],,2,12,28,,217680,[object Object]
,FC7-1,66,33000000,[object Object],33000000,[object Object],6600000,[object Object],1600000,[object Object],48,[object Object],4,[object Object],,2,12,28,,217680,[object Object]
,FC7-2,67,33000000,[object Object],33000000,[object Object],6600000,[object Object],1600000,[object Object],48,[object Object],4,[object Object],,2,19,12,,241920,[object Object]
,FC7-3,68,33000000,[object Object],33000000,[object Object],6600000,[object Object],1600000,[object Object],48,[object Object],4,[object Object],,2,19,12,,241920,[object Object]
,FC7-4,69,33000000,[object Object],33000000,[object Object],6600000,[object Object],1600000,[object Object],48,[object Object],4,[object Object],,2,19,12,,241920,[object Object]
,FC8,70,33000000,[object Object],33000000,[object Object],6600000,[object Object],1600000,[object Object],24,[object Object],8,[object Object],,2,19,12,,241920,[object Object]
,FC8-1,71,36000000,[object Object],36000000,[object Object],7200000,[object Object],1800000,[object Object],56,[object Object],6,[object Object],,1,19,40,,157200,[object Object]
,FC8-2,72,36000000,[object Object],36000000,[object Object],7200000,[object Object],1800000,[object Object],56,[object Object],6,[object Object],,1,19,40,,157200,[object Object]
,FC8-3,73,36000000,[object Object],36000000,[object Object],7200000,[object Object],1800000,[object Object],56,[object Object],6,[object Object],,1,19,40,,157200,[object Object]
,FC8-4,74,36000000,[object Object],36000000,[object Object],7200000,[object Object],1800000,[object Object],56,[object Object],6,[object Object],,1,19,40,,157200,[object Object]
,FC9,75,36000000,[object Object],36000000,[object Object],7200000,[object Object],1800000,[object Object],28,[object Object],12,[object Object],,1,19,40,,157200,[object Object]
,FC9-1,76,42000000,[object Object],42000000,[object Object],8400000,[object Object],2100000,[object Object],70,[object Object],14,[object Object],,2,19,12,,241920,[object Object]
,FC9-2,77,42000000,[object Object],42000000,[object Object],8400000,[object Object],2100000,[object Object],70,[object Object],14,[object Object],,2,19,12,,241920,[object Object]
,FC9-3,78,42000000,[object Object],42000000,[object Object],8400000,[object Object],2100000,[object Object],70,[object Object],14,[object Object],,2,19,12,,241920,[object Object]
,FC9-4,79,42000000,[object Object],42000000,[object Object],8400000,[object Object],2100000,[object Object],70,[object Object],14,[object Object],,2,19,12,,241920,[object Object]
,FC10,80,42000000,[object Object],42000000,[object Object],8400000,[object Object],2100000,[object Object],35,[object Object],28,[object Object],,2,19,12,,241920,[object Object]

,,,1609010000,[object Object],1609536860,[object Object],323164970,[object Object],79923445,[object Object],2314,[object Object],174,[object Object],[object Object],87,932,1850,266,10983266,[object Object]

,,,,,,,,,,,,,,,,,,,Days,127,[object Object]
,,,,,,,,,,,,,,,,,,,Hours,2,[object Object]
,,,,,,,,,,,,,,,,,,,Minutes,54,[object Object]
,,,,,,,,,,,,,,,,,,,Seconds,26,[object Object]
