
,,,,,,,,,,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,Train Troops - Full Build,,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,Upgrade Troops - Full Build,,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,Train X Number Of Troops,,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,Upgrade X Number Of Troops,,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops,Upgrade ALL Troops
,45,9,131,48.51851851851851,1394,1046,244,51,,9,56960.74074074074,[object Object],15,49,20.740740740737238,1636556,1228004,286456,59874,,9,4313,78272.96296296295,[object Object],21,44,32,24049288,18036966,4209488,871226,,9,45000,2183333.333333333,25,6,28,53,62730000,47070000,10980000,2295000,,9,45000,816666.6666666665,9,10,51,6,250920000,188190000,43920000,9090000,,9,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,60,10,152,56.29629629629629,2788,2091,488,102,,10,66091.85185185185,[object Object],18,21,31.851851851854008,3273112,2454834,572912,119748,,10,7548,78275.55555555553,[object Object],21,44,35,31565736,23678076,5525136,1139748,,10,45000,2533333.333333333,29,7,42,13,125460000,94095000,21960000,4590000,,10,45000,466666.6666666665,5,9,37,46,188190000,141165000,32940000,6795000,,10,45000,466666.6666666665,5,9,37,46,188190000,141165000,32940000,6795000
,75,11,180,66.66666666666666,6970,5228,1220,253,,11,78266.66666666666,[object Object],21,44,26.666666666656965,8182780,6137672,1432280,297022,,11,-,-,-,-,-,-,-,-,-,-,,11,45000,3000000,34,17,20,[object Object],313650000,235260000,54900000,11385000,,11,45000,-,-,-,-,-,-,-,-,-,,11,1000000,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,,,,,,,,,,Tier 11,78266.66666666666,[object Object],21,44,26.666666666656965,,,,,,,From 10 To 11,78275.55555555553,[object Object],21,44,35,,,,,,,Tier 11,3000000,34,17,20,[object Object],,,,,,,From 10 To 11,466666.6666666665,5,9,37,46,,,,,,1045000 to T10,1045000 to T10,466666.6666666665,5,9,37,46,188190000,141165000,32940000,6795000


,Lancer,Lancer,Lancer,Lancer,Lancer,Lancer,Lancer,Lancer,,To Train 1174 Lancer,To Train 1174 Lancer,To Train 1174 Lancer,To Train 1174 Lancer,To Train 1174 Lancer,To Train 1174 Lancer,To Train 1174 Lancer,To Train 1174 Lancer,To Train 1174 Lancer,To Train 1174 Lancer,,To Upgrade 1174 Lancer to Tier 11,To Upgrade 1174 Lancer to Tier 11,To Upgrade 1174 Lancer to Tier 11,To Upgrade 1174 Lancer to Tier 11,To Upgrade 1174 Lancer to Tier 11,To Upgrade 1174 Lancer to Tier 11,To Upgrade 1174 Lancer to Tier 11,To Upgrade 1174 Lancer to Tier 11,To Upgrade 1174 Lancer to Tier 11,To Upgrade 1174 Lancer to Tier 11,To Upgrade 1174 Lancer to Tier 11,,To Train 45000 Tier 11 Lancer,To Train 45000 Tier 11 Lancer,To Train 45000 Tier 11 Lancer,To Train 45000 Tier 11 Lancer,To Train 45000 Tier 11 Lancer,To Train 45000 Tier 11 Lancer,To Train 45000 Tier 11 Lancer,To Train 45000 Tier 11 Lancer,To Train 45000 Tier 11 Lancer,To Train 45000 Tier 11 Lancer,To Train 45000 Tier 11 Lancer,,To Upgrade 45000 Lancer to Tier 11,To Upgrade 45000 Lancer to Tier 11,To Upgrade 45000 Lancer to Tier 11,To Upgrade 45000 Lancer to Tier 11,To Upgrade 45000 Lancer to Tier 11,To Upgrade 45000 Lancer to Tier 11,To Upgrade 45000 Lancer to Tier 11,To Upgrade 45000 Lancer to Tier 11,To Upgrade 45000 Lancer to Tier 11,To Upgrade 45000 Lancer to Tier 11,To Upgrade 45000 Lancer to Tier 11,,To Upgrade All Existing Lancer  to Tier 11,To Upgrade All Existing Lancer  to Tier 11,To Upgrade All Existing Lancer  to Tier 11,To Upgrade All Existing Lancer  to Tier 11,To Upgrade All Existing Lancer  to Tier 11,To Upgrade All Existing Lancer  to Tier 11,To Upgrade All Existing Lancer  to Tier 11,To Upgrade All Existing Lancer  to Tier 11,To Upgrade All Existing Lancer  to Tier 11,To Upgrade All Existing Lancer  to Tier 11,To Upgrade All Existing Lancer  to Tier 11
,Points,Tier,Time (s),Adjusted (s),Meat,Wood,Coal,Iron,,Tier,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron,,Tier,Quantity,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron,,Tier,Quantity,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron,,Tier,Quantity,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron,,Tier,Quantity,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron
,3,1,12,4.444444444444444,32,30,7,2,,1,5217.777777777777,[object Object],1,26,57.777777777777374,37568,35220,8218,2348,,1,1258,78275.55555555555,[object Object],21,44,35,7632286,7197018,1481924,338402,,1,45000,200000,2,7,33,20,1440000,1350000,315000,90000,,1,45000,2799999.9999999995,32,9,46,39,273015000,257445000,53010000,12105000,,1,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,4,2,17,6.296296296296296,51,48,10,3,,2,7391.851851851851,[object Object],2,3,11.85185185185128,59874,56352,11740,3522,,2,1297,78300.37037037035,[object Object],21,45,[object Object],7844256,7396791,1523975,347596,,2,45000,283333.3333333333,3,6,42,13,2295000,2160000,450000,135000,,2,45000,2716666.666666666,31,10,37,46,272160000,256635000,52875000,12060000,,2,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,5,3,24,8.888888888888888,81,76,16,4,,3,10435.555555555555,[object Object],2,53,55.55555555555475,95094,89224,18784,4696,,3,1355,78288.88888888888,[object Object],21,44,48,8154390,7689625,1583995,361785,,3,45000,400000,4,15,6,40,3645000,3420000,720000,180000,,3,45000,2599999.9999999995,30,2,13,19,270810000,255375000,52605000,12015000,,3,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,8,4,32,11.851851851851851,105,99,21,5,,4,13914.074074074073,[object Object],3,51,54.074074074072996,123270,116226,24654,5870,,4,1428,78275.55555555555,[object Object],21,44,35,8559432,8071056,1662192,379848,,4,45000,533333.3333333333,6,4,8,53,4725000,4455000,945000,225000,,4,45000,2466666.6666666665,28,13,11,6,269730000,254340000,52380000,11970000,,4,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,12,5,44,16.296296296296294,136,129,27,7,,5,19131.85185185185,[object Object],5,18,51.85185185185037,159664,151446,31698,8218,,5,1554,78275.55555555555,[object Object],21,44,35,9266502,8736588,1799532,410256,,5,45000,733333.3333333333,8,11,42,13,6120000,5805000,1215000,315000,,5,45000,2266666.6666666665,26,5,37,46,268335000,252990000,52110000,11880000,,5,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,18,6,60,22.22222222222222,163,154,32,8,,6,26088.888888888887,[object Object],7,14,48.88888888888687,191362,180796,37568,9392,,6,1761,78266.66666666666,[object Object],21,44,26,10453296,9856317,2030433,463143,,6,45000,999999.9999999999,11,13,46,39,7335000,6930000,1440000,360000,,6,45000,1999999.9999999995,23,3,33,19,267120000,251865000,51885000,11835000,,6,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,25,7,83,30.74074074074074,244,231,48,11,,7,36089.62962962963,[object Object],10,1,29.629629629627743,286456,271194,56352,12914,,7,2179,78282.59259259257,[object Object],21,44,42,12758045,12028080,2477523,566540,,7,45000,1383333.3333333333,16,[object Object],15,33,10980000,10395000,2160000,495000,,7,45000,1616666.6666666663,18,17,4,26,263475000,248400000,51165000,11700000,,7,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,35,8,113,41.85185185185185,488,461,95,22,,8,49134.07407407407,[object Object],13,38,54.074074074072996,572912,541214,111530,25828,,8,3155,78290.74074074073,[object Object],21,44,50,17702705,16689950,3438950,785595,,8,45000,1883333.3333333333,21,19,8,53,21960000,20745000,4275000,990000,,8,45000,1116666.6666666665,12,22,11,6,252495000,238050000,49050000,11205000,,8,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,45,9,131,48.51851851851851,1220,1151,237,55,,9,56960.74074074074,[object Object],15,49,20.740740740737238,1432280,1351274,278238,64570,,9,4313,78272.96296296295,[object Object],21,44,32,21043127,19839800,4088724,931608,,9,45000,2183333.333333333,25,6,28,53,54900000,51795000,10665000,2475000,,9,45000,816666.6666666665,9,10,51,6,219555000,207000000,42660000,9720000,,9,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,60,10,152,56.29629629629629,2440,2301,474,109,,10,66091.85185185185,[object Object],18,21,31.851851851854008,2864560,2701374,556476,127966,,10,7548,78275.55555555553,[object Object],21,44,35,27618132,26040600,5366628,1222776,,10,45000,2533333.333333333,29,7,42,13,109800000,103545000,21330000,4905000,,10,45000,466666.6666666665,5,9,37,46,164655000,155250000,31995000,7290000,,10,45000,466666.6666666665,5,9,37,46,164655000,155250000,31995000,7290000
,75,11,180,66.66666666666666,6099,5751,1185,271,,11,78266.66666666666,[object Object],21,44,26.666666666656965,7160226,6751674,1391190,318154,,11,-,-,-,-,-,-,-,-,-,-,,11,45000,3000000,34,17,20,[object Object],274455000,258795000,53325000,12195000,,11,45000,-,-,-,-,-,-,-,-,-,,11,950000,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,,,,,,,,,,Tier 11,78266.66666666666,[object Object],21,44,26.666666666656965,,,,,,,From 10 To 11,78275.55555555553,[object Object],21,44,35,,,,,,,Tier 11,3000000,34,17,20,[object Object],,,,,,,From 10 To 11,466666.6666666665,5,9,37,46,,,,,,995000 to T10,995000 to T10,466666.6666666665,5,9,37,46,164655000,155250000,31995000,7290000


,Marksman,Marksman,Marksman,Marksman,Marksman,Marksman,Marksman,Marksman,,To Train 1174 Marksman,To Train 1174 Marksman,To Train 1174 Marksman,To Train 1174 Marksman,To Train 1174 Marksman,To Train 1174 Marksman,To Train 1174 Marksman,To Train 1174 Marksman,To Train 1174 Marksman,To Train 1174 Marksman,,To Upgrade 1174 Marksman to Tier 11,To Upgrade 1174 Marksman to Tier 11,To Upgrade 1174 Marksman to Tier 11,To Upgrade 1174 Marksman to Tier 11,To Upgrade 1174 Marksman to Tier 11,To Upgrade 1174 Marksman to Tier 11,To Upgrade 1174 Marksman to Tier 11,To Upgrade 1174 Marksman to Tier 11,To Upgrade 1174 Marksman to Tier 11,To Upgrade 1174 Marksman to Tier 11,To Upgrade 1174 Marksman to Tier 11,,To Train 45000 Tier 11 Marksman,To Train 45000 Tier 11 Marksman,To Train 45000 Tier 11 Marksman,To Train 45000 Tier 11 Marksman,To Train 45000 Tier 11 Marksman,To Train 45000 Tier 11 Marksman,To Train 45000 Tier 11 Marksman,To Train 45000 Tier 11 Marksman,To Train 45000 Tier 11 Marksman,To Train 45000 Tier 11 Marksman,To Train 45000 Tier 11 Marksman,,To Upgrade 45000 Marksman to Tier 11,To Upgrade 45000 Marksman to Tier 11,To Upgrade 45000 Marksman to Tier 11,To Upgrade 45000 Marksman to Tier 11,To Upgrade 45000 Marksman to Tier 11,To Upgrade 45000 Marksman to Tier 11,To Upgrade 45000 Marksman to Tier 11,To Upgrade 45000 Marksman to Tier 11,To Upgrade 45000 Marksman to Tier 11,To Upgrade 45000 Marksman to Tier 11,To Upgrade 45000 Marksman to Tier 11,,To Upgrade All Existing Marksman to Tier 11,To Upgrade All Existing Marksman to Tier 11,To Upgrade All Existing Marksman to Tier 11,To Upgrade All Existing Marksman to Tier 11,To Upgrade All Existing Marksman to Tier 11,To Upgrade All Existing Marksman to Tier 11,To Upgrade All Existing Marksman to Tier 11,To Upgrade All Existing Marksman to Tier 11,To Upgrade All Existing Marksman to Tier 11,To Upgrade All Existing Marksman to Tier 11,To Upgrade All Existing Marksman to Tier 11
,Points,Tier,Time (s),Adjusted (s),Meat,Wood,Coal,Iron,,Tier,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron,,Tier,Quantity,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron,,Tier,Quantity,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron,,Tier,Quantity,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron,,Tier,Quantity,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron
,3,1,12,4.444444444444444,23,34,6,2,,1,5217.777777777777,[object Object],1,26,57.777777777777374,27002,39916,7044,2348,,1,1258,78275.55555555555,[object Object],21,44,35,8722972,6542858,1525954,315758,,1,45000,200000,2,7,33,20,1035000,1530000,270000,90000,,1,45000,2799999.9999999995,32,9,46,39,195030000,288630000,48375000,15615000,,1,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,4,2,17,6.296296296296296,36,54,9,4,,2,7391.851851851851,[object Object],2,3,11.85185185185128,42264,63396,10566,4696,,2,1297,78300.37037037035,[object Object],21,45,[object Object],8964864,6723648,1569370,324250,,2,45000,283333.3333333333,3,6,42,13,1620000,2430000,405000,180000,,2,45000,2716666.666666666,31,10,37,46,194445000,287730000,48240000,15525000,,2,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,5,3,24,8.888888888888888,58,86,15,5,,3,10435.555555555555,[object Object],2,53,55.55555555555475,68092,100964,17610,5870,,3,1355,78288.88888888888,[object Object],21,44,48,9319690,6990445,1630065,337395,,3,45000,400000,4,15,6,40,2610000,3870000,675000,225000,,3,45000,2599999.9999999995,30,2,13,19,193455000,286290000,47970000,15480000,,3,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,8,4,32,11.851851851851851,75,111,19,6,,4,13914.074074074073,[object Object],3,51,54.074074074072996,88050,130314,22306,7044,,4,1428,78275.55555555555,[object Object],21,44,35,9781800,7337064,1712172,354144,,4,45000,533333.3333333333,6,4,8,53,3375000,4995000,855000,270000,,4,45000,2466666.6666666665,28,13,11,6,192690000,285165000,47790000,15435000,,4,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,12,5,44,16.296296296296294,97,144,24,8,,5,19131.85185185185,[object Object],5,18,51.85185185185037,113878,169056,28176,9392,,5,1554,78275.55555555555,[object Object],21,44,35,10588956,7942494,1853922,383838,,5,45000,733333.3333333333,8,11,42,13,4365000,6480000,1080000,360000,,5,45000,2266666.6666666665,26,5,37,46,191700000,283680000,47565000,15345000,,5,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,18,6,60,22.22222222222222,117,173,29,10,,6,26088.888888888887,[object Object],7,14,48.88888888888687,137358,203102,34046,11740,,6,1761,78266.66666666666,[object Object],21,44,26,11946624,8959968,2090307,433206,,6,45000,999999.9999999999,11,13,46,39,5265000,7785000,1305000,450000,,6,45000,1999999.9999999995,23,3,33,19,190800000,282375000,47340000,15255000,,6,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,25,7,83,30.74074074074074,175,258,44,14,,7,36089.62962962963,[object Object],10,1,29.629629629627743,205450,302892,51656,16436,,7,2179,78282.59259259257,[object Object],21,44,42,14579689,10934222,2551609,527318,,7,45000,1383333.3333333333,16,[object Object],15,33,7875000,11610000,1980000,630000,,7,45000,1616666.6666666663,18,17,4,26,188190000,278550000,46665000,15075000,,7,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,35,8,113,41.85185185185185,349,516,87,28,,8,49134.07407407407,[object Object],13,38,54.074074074072996,409726,605784,102138,32872,,8,3155,78290.74074074073,[object Object],21,44,50,20229860,15172395,3539910,731960,,8,45000,1883333.3333333333,21,19,8,53,15705000,23220000,3915000,1260000,,8,45000,1116666.6666666665,12,22,11,6,180360000,266940000,44730000,14445000,,8,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,45,9,131,48.51851851851851,872,1290,217,70,,9,56960.74074074074,[object Object],15,49,20.740740740737238,1023728,1514460,254758,82180,,9,4313,78272.96296296295,[object Object],21,44,32,24049288,18036966,4209488,871226,,9,45000,2183333.333333333,25,6,28,53,39240000,58050000,9765000,3150000,,9,45000,816666.6666666665,9,10,51,6,156825000,232110000,38880000,12555000,,9,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,60,10,152,56.29629629629629,1743,2579,433,140,,10,66091.85185185185,[object Object],18,21,31.851851851854008,2046282,3027746,508342,164360,,10,7548,78275.55555555553,[object Object],21,44,35,31565736,23678076,5525136,1139748,,10,45000,2533333.333333333,29,7,42,13,78435000,116055000,19485000,6300000,,10,45000,466666.6666666665,5,9,37,46,117630000,174105000,29160000,9405000,,10,45000,466666.6666666665,5,9,37,46,117630000,174105000,29160000,9405000
,75,11,180,66.66666666666666,4357,6448,1081,349,,11,78266.66666666666,[object Object],21,44,26.666666666656965,5115118,7569952,1269094,409726,,11,-,-,-,-,-,-,-,-,-,-,,11,45000,3000000,34,17,20,[object Object],196065000,290160000,48645000,15705000,,11,45000,-,-,-,-,-,-,-,-,-,,11,1100000,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
,,,,,,,,,,Tier 11,78266.66666666666,[object Object],21,44,26.666666666656965,,,,,,,From 10 To 11,78275.55555555553,[object Object],21,44,35,,,,,,,Tier 11,3000000,34,17,20,[object Object],,,,,,,From 10 To 11,466666.6666666665,5,9,37,46,,,,,,1145000 to T10,1145000 to T10,466666.6666666665,5,9,37,46,117630000,174105000,29160000,9405000

,,,,,,,,,,Total:,234799.99999999997,2,17,13,19,,,,,,,Total,234826.6666666666,2,17,13,46,,,,,,,Total:,9000000,104,4,[object Object],[object Object],,,,,,,Total,1399999.9999999995,16,4,53,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Upgrade All Existing Troops to Tier 11,To Upgrade All Existing Troops to Tier 11,To Upgrade All Existing Troops to Tier 11,To Upgrade All Existing Troops to Tier 11,To Upgrade All Existing Troops to Tier 11,To Upgrade All Existing Troops to Tier 11,To Upgrade All Existing Troops to Tier 11,To Upgrade All Existing Troops to Tier 11,To Upgrade All Existing Troops to Tier 11,To Upgrade All Existing Troops to Tier 11,To Upgrade All Existing Troops to Tier 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier,Quantity,Time (s),Days,Hours,Minutes,Seconds,Meat,Wood,Coal,Iron
