

,,,Gear Level,#,Alloy,Polish,Plans,Amber,Power,SvS Points
,,,Legendary T4 (1-Star Status: 3),104,32000,360,60,8,4202000,3100,Legendary T4 (1-Star Status: 3)
,,,Legendary T4 (1-Star Status: 4),105,32000,360,60,8,4243000,3090,Legendary T4 (1-Star Status: 4)
,,,Legendary T4 (2-Star),106,32000,360,60,8,4284000,3100,Legendary T4 (2-Star)
,,,Legendary T4 (2-Star Status: 1),107,36000,390,65,8,4234000,3010,Legendary T4 (2-Star Status: 1)
,,,Legendary T4 (2-Star Status: 2),108,36000,390,65,8,4365000,3100,Legendary T4 (2-Star Status: 2)
,,,Legendary T4 (2-Star Status: 3),109,36000,390,65,8,4406000,3090,Legendary T4 (2-Star Status: 3)
,,,Legendary T4 (2-Star Status: 4),110,36000,390,65,8,4447000,3100,Legendary T4 (2-Star Status: 4)
,,,Legendary T4 (3-Star),111,36000,390,65,8,4488000,3090,Legendary T4 (3-Star)
,,,,T3 3* -> T4 3*,604000,6900,1150,160
,,,,X6,3624000,41400,6900,960

,,,,,Alloy,Polish,Plans,Amber,Cpower,Dpower,Svs Points
,HatCurrentLevel,HatCurrentLevel,HatDesiredLevel,HatDesiredLevel,102000,1020,175,[object Object],1362720,1607520,25000
,CoatCurrentLevel,CoatCurrentLevel,CoatDesiredLevel,CoatDesiredLevel,135000,1350,220,[object Object],1607520,1852320,25000
,RingCurrentLevel,RingCurrentLevel,RingDesiredLevel,RingDesiredLevel,237000,2370,395,[object Object],1362720,1852320,50000
,WatchCurrentLevel,WatchCurrentLevel,WatchDesiredLevel,WatchDesiredLevel,102000,1020,175,[object Object],1362720,1607520,25000
,PantsCurrentLevel,PantsCurrentLevel,PantsDesiredLevel,PantsDesiredLevel,604000,6900,1150,160,3672000,4488000,61750
,CudgelCurrentLevel,CudgelCurrentLevel,CudgelDesiredLevel,CudgelDesiredLevel,237000,2370,395,[object Object],1362720,1852320,50000
,,,,,1417000,15030,2510,160,10730400,13260000,8523000
