,,,Level For F30
,,,29
,Embassy,,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,,,,Building Time,Building Time,Building Time,Building Time,Building Time,Building Time
,FC5-1,56,19900000,[object Object],19900000,[object Object],3800000,[object Object],960000,[object Object],50,[object Object],2,[object Object],,9,21,36,,855360,[object Object]
,FC5-2,57,19900000,[object Object],19900000,[object Object],3800000,[object Object],960000,[object Object],50,[object Object],2,[object Object],,9,21,36,,855360,[object Object]
,FC5-3,58,19900000,[object Object],19900000,[object Object],3800000,[object Object],960000,[object Object],50,[object Object],2,[object Object],,9,21,36,,855360,[object Object]
,FC5-4,59,19900000,[object Object],19900000,[object Object],3800000,[object Object],960000,[object Object],50,[object Object],2,[object Object],,9,21,36,,855360,[object Object]
,FC6,60,19900000,[object Object],19900000,[object Object],3800000,[object Object],960000,[object Object],25,[object Object],5,[object Object],,9,21,36,,855360,[object Object]
,FC6-1,61,21000000,[object Object],21000000,[object Object],4300000,[object Object],1000000,[object Object],60,[object Object],3,[object Object],,11,21,7,,1026420,[object Object]
,FC6-2,62,21000000,[object Object],21000000,[object Object],4300000,[object Object],1000000,[object Object],60,[object Object],3,[object Object],,11,21,7,,1026420,[object Object]
,FC6-3,63,21000000,[object Object],21000000,[object Object],4300000,[object Object],1000000,[object Object],60,[object Object],3,[object Object],,11,21,7,,1026420,[object Object]
,FC6-4,64,21000000,[object Object],21000000,[object Object],4300000,[object Object],1000000,[object Object],60,[object Object],3,[object Object],,11,21,7,,1026420,[object Object]
,FC7,65,21000000,[object Object],21000000,[object Object],4300000,[object Object],1000000,[object Object],30,[object Object],7,[object Object],,11,21,7,,1026420,[object Object]
,FC7-1,66,26000000,[object Object],26000000,[object Object],5300000,[object Object],1300000,[object Object],60,[object Object],5,[object Object],,13,4,48,,1140480,[object Object]
,FC7-2,67,26000000,[object Object],26000000,[object Object],5300000,[object Object],1300000,[object Object],60,[object Object],5,[object Object],,13,4,48,,1140480,[object Object]
,FC7-3,68,26000000,[object Object],26000000,[object Object],5300000,[object Object],1300000,[object Object],60,[object Object],5,[object Object],,13,4,48,,1140480,[object Object]
,FC7-4,69,26000000,[object Object],26000000,[object Object],5300000,[object Object],1300000,[object Object],60,[object Object],5,[object Object],,13,4,48,,1140480,[object Object]
,FC8,70,26000000,[object Object],26000000,[object Object],5300000,[object Object],1300000,[object Object],30,[object Object],11,[object Object],,13,4,48,,1140480,[object Object]
,FC8-1,71,29000000,29000000,29000000,29000000,5800000,5800000,1400000,1400000,70,70,7,7,,8,13,55,,741300,741300
,FC8-2,72,29000000,29000000,29000000,29000000,5800000,5800000,1400000,1400000,70,70,7,7,,8,13,55,,741300,741300
,FC8-3,73,29000000,29000000,29000000,29000000,5800000,5800000,1400000,1400000,70,70,7,7,,8,13,55,,741300,741300
,FC8-4,74,29000000,29000000,29000000,29000000,5800000,5800000,1400000,1400000,70,70,7,7,,8,13,55,,741300,741300
,FC9,75,29000000,29000000,29000000,29000000,5800000,5800000,1400000,1400000,35,35,15,15,,8,13,55,,741300,741300
,FC9-1,76,33000000,[object Object],33000000,[object Object],6700000,[object Object],1600000,[object Object],87,[object Object],17,[object Object],,13,4,48,,1140480,[object Object]
,FC9-2,77,33000000,[object Object],33000000,[object Object],6700000,[object Object],1600000,[object Object],87,[object Object],17,[object Object],,13,4,48,,1140480,[object Object]
,FC9-3,78,33000000,[object Object],33000000,[object Object],6700000,[object Object],1600000,[object Object],87,[object Object],17,[object Object],,13,4,48,,1140480,[object Object]
,FC9-4,79,33000000,[object Object],33000000,[object Object],6700000,[object Object],1600000,[object Object],87,[object Object],17,[object Object],,13,4,48,,1140480,[object Object]
,FC10,80,33000000,[object Object],33000000,[object Object],6700000,[object Object],1600000,[object Object],43,[object Object],35,[object Object],,13,4,48,,1140480,[object Object]

,Total,,1277420000,145000000,1277891850,145000000,258187740,29000000,63508780,7000000,2891,315,209,43,[object Object],563,860,2446,162,51886122,3706500

,,,,,,,,,,,,,,,,,,,Days,600,42
,,,,,,,,,,,,,,,,,,,Hours,12,21
,,,,,,,,,,,,,,,,,,,Minutes,48,35
,,,,,,,,,,,,,,,,,,,Seconds,42,[object Object]
