,,,Level For F30
,,,1
,Command Center,,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,Resource Cost,,,,Building Time,Building Time,Building Time,Building Time,Building Time,Building Time
,FC5-1,56,29000000,[object Object],29000000,[object Object],5800000,[object Object],1400000,[object Object],40,[object Object],2,[object Object],,1,19,12,,155520,[object Object]
,FC5-2,57,29000000,[object Object],29000000,[object Object],5800000,[object Object],1400000,[object Object],40,[object Object],2,[object Object],,1,19,12,,155520,[object Object]
,FC5-3,58,29000000,[object Object],29000000,[object Object],5800000,[object Object],1400000,[object Object],40,[object Object],2,[object Object],,1,19,12,,155520,[object Object]
,FC5-4,59,29000000,[object Object],29000000,[object Object],5800000,[object Object],1400000,[object Object],40,[object Object],2,[object Object],,1,19,12,,155520,[object Object]
,FC6,60,29000000,[object Object],29000000,[object Object],5800000,[object Object],1400000,[object Object],20,[object Object],4,[object Object],,1,19,12,,155520,[object Object]
,FC6-1,61,32000000,[object Object],32000000,[object Object],6500000,[object Object],1500000,[object Object],48,[object Object],3,[object Object],,2,1,30,,178200,[object Object]
,FC6-2,62,32000000,[object Object],32000000,[object Object],6500000,[object Object],1500000,[object Object],48,[object Object],3,[object Object],,2,1,30,,178200,[object Object]
,FC6-3,63,32000000,[object Object],32000000,[object Object],6500000,[object Object],1500000,[object Object],48,[object Object],3,[object Object],,2,1,30,,178200,[object Object]
,FC6-4,64,32000000,[object Object],32000000,[object Object],6500000,[object Object],1500000,[object Object],48,[object Object],3,[object Object],,2,1,30,,178200,[object Object]
,FC7,65,32000000,[object Object],32000000,[object Object],6500000,[object Object],1500000,[object Object],24,[object Object],6,[object Object],,2,1,30,,178200,[object Object]
,FC7-1,66,39000000,[object Object],39000000,[object Object],7900000,[object Object],1900000,[object Object],48,[object Object],4,[object Object],,2,9,36,,207360,[object Object]
,FC7-2,67,39000000,[object Object],39000000,[object Object],7900000,[object Object],1900000,[object Object],48,[object Object],4,[object Object],,2,9,36,,207360,[object Object]
,FC7-3,68,39000000,[object Object],39000000,[object Object],7900000,[object Object],1900000,[object Object],48,[object Object],4,[object Object],,2,9,36,,207360,[object Object]
,FC7-4,69,39000000,[object Object],39000000,[object Object],7900000,[object Object],1900000,[object Object],48,[object Object],4,[object Object],,2,9,36,,207360,[object Object]
,FC8,70,39000000,[object Object],39000000,[object Object],7900000,[object Object],1900000,[object Object],24,[object Object],8,[object Object],,2,9,36,,207360,[object Object]
,FC8-1,71,43000000,43000000,43000000,43000000,8700000,8700000,2100000,2100000,56,56,6,6,,1,13,26,,134760,134760
,FC8-2,72,43000000,43000000,43000000,43000000,8700000,8700000,2100000,2100000,56,56,6,6,,1,13,26,,134760,134760
,FC8-3,73,43000000,43000000,43000000,43000000,8700000,8700000,2100000,2100000,56,56,6,6,,1,13,26,,134760,134760
,FC8-4,74,43000000,43000000,43000000,43000000,8700000,8700000,2100000,2100000,56,56,6,6,,1,13,26,,134760,134760
,FC9,75,43000000,43000000,43000000,43000000,8700000,8700000,2100000,2100000,28,28,12,12,,1,13,26,,134760,134760
,FC9-1,76,50000000,[object Object],50000000,[object Object],10000000,[object Object],2500000,[object Object],70,[object Object],14,[object Object],,2,9,36,,207360,[object Object]
,FC9-2,77,50000000,[object Object],50000000,[object Object],10000000,[object Object],2500000,[object Object],70,[object Object],14,[object Object],,2,9,36,,207360,[object Object]
,FC9-3,78,50000000,[object Object],50000000,[object Object],10000000,[object Object],2500000,[object Object],70,[object Object],14,[object Object],,2,9,36,,207360,[object Object]
,FC9-4,79,50000000,[object Object],50000000,[object Object],10000000,[object Object],2500000,[object Object],70,[object Object],14,[object Object],,2,9,36,,207360,[object Object]
,FC10,80,50000000,[object Object],50000000,[object Object],10000000,[object Object],2500000,[object Object],35,[object Object],28,[object Object],,2,9,36,,207360,[object Object]

,Total,,1923140000,215000000,1923796270,215000000,390689450,43500000,94986570,10500000,2314,252,174,36,[object Object],80,650,2409,435,9396975,673800

,,,,,,,,,,,,,,,,,,,Days,108,7
,,,,,,,,,,,,,,,,,,,Hours,18,19
,,,,,,,,,,,,,,,,,,,Minutes,16,10
,,,,,,,,,,,,,,,,,,,Seconds,15,[object Object]
