
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
,10,10,,[object Object],460000,[object Object],92000,[object Object],23000,[object Object],,[object Object],,[object Object],,,6,,,21600,[object Object],,-,3,8,6,7,1,5,-,9,1,1,3
,11,11,1300000,[object Object],1300000,[object Object],260000,[object Object],65000,[object Object],,[object Object],,[object Object],,,7,30,,27000,[object Object],,-,3,10,6,7,1,5,10,9,1,1,3
,12,12,1600000,[object Object],1600000,[object Object],330000,[object Object],84000,[object Object],,[object Object],,[object Object],,,9,,,32400,[object Object],,1,3,11,6,7,1,5,10,9,1,1,3
,13,13,2300000,[object Object],2300000,[object Object],470000,[object Object],110000,[object Object],,[object Object],,[object Object],,,11,,,39600,[object Object],,1,3,12,6,12,1,5,10,9,1,1,3
,14,14,3100000,[object Object],3100000,[object Object],630000,[object Object],150000,[object Object],,[object Object],,[object Object],,,14,,,50400,[object Object],,1,3,13,6,12,1,5,10,13,1,1,3
,15,15,4600000,[object Object],4600000,[object Object],930000,[object Object],230000,[object Object],,[object Object],,[object Object],,,18,,,64800,[object Object],,1,3,14,6,12,1,5,14,13,1,1,3
,16,16,5900000,[object Object],5900000,[object Object],1100000,[object Object],290000,[object Object],,[object Object],,[object Object],,1,6,28,,109680,[object Object],,1,3,15,6,12,1,5,14,13,15,1,3
,17,17,9300000,[object Object],9300000,[object Object],1800000,[object Object],460000,[object Object],,[object Object],,[object Object],,1,12,34,,131640,[object Object],,1,3,16,6,16,1,5,14,13,15,1,3
,18,18,12000000,[object Object],12000000,[object Object],2500000,[object Object],620000,[object Object],,[object Object],,[object Object],,1,19,53,,157980,[object Object],,1,3,17,6,16,1,5,14,17,15,1,3
,19,19,15000000,[object Object],15000000,[object Object],3100000,[object Object],780000,[object Object],,[object Object],,[object Object],,2,17,50,,237000,[object Object],,1,3,18,6,16,1,5,18,17,15,1,3
,20,20,21000000,[object Object],21000000,[object Object],4300000,[object Object],1000000,[object Object],,[object Object],,[object Object],,3,10,18,,296280,[object Object],,1,3,19,6,16,1,5,18,17,19,1,3
,21,21,27000000,[object Object],27000000,[object Object],5400000,[object Object],1300000,[object Object],,[object Object],,[object Object],,4,10,59,,385140,[object Object],,1,3,20,6,20,1,5,18,17,19,1,3
,22,22,36000000,[object Object],36000000,[object Object],7200000,[object Object],1800000,[object Object],,[object Object],,[object Object],,6,16,29,,577740,[object Object],,1,3,21,6,20,1,5,18,21,19,1,3
,23,23,44000000,[object Object],44000000,[object Object],8900000,[object Object],2200000,[object Object],,[object Object],,[object Object],,9,8,40,,808800,[object Object],,1,3,22,6,20,1,5,22,21,19,1,3
,24,24,60000000,[object Object],60000000,[object Object],12000000,[object Object],3000000,[object Object],,[object Object],,[object Object],,13,2,33,,1132380,[object Object],,1,3,23,6,20,1,5,22,21,23,1,3
,25,25,81000000,[object Object],81000000,[object Object],16000000,[object Object],4000000,[object Object],,[object Object],,[object Object],,18,8,22,,1585320,[object Object],,1,3,24,6,24,1,5,22,21,23,1,3
,26,26,100000000,[object Object],100000000,[object Object],21000000,[object Object],5200000,[object Object],,[object Object],,[object Object],,21,2,26,,1823160,[object Object],,1,3,25,6,24,1,5,22,25,23,1,3
,27,27,140000000,[object Object],140000000,[object Object],24000000,[object Object],7400000,[object Object],,[object Object],,[object Object],,25,7,43,,2187780,[object Object],,1,3,26,6,24,1,5,26,25,23,1,3
,28,28,190000000,[object Object],190000000,[object Object],39000000,[object Object],9900000,[object Object],,[object Object],,[object Object],,29,2,52,,2515920,[object Object],,1,3,27,6,24,1,5,26,25,27,1,3
,29,29,240000000,[object Object],240000000,[object Object],49000000,[object Object],12000000,[object Object],,[object Object],,[object Object],,33,11,42,,2893320,[object Object],,1,3,28,6,28,1,5,26,25,27,1,3
,30,30,300000000,[object Object],300000000,[object Object],60000000,[object Object],15000000,[object Object],,[object Object],,[object Object],,40,4,27,,3472020,[object Object],,1,3,29,6,28,1,5,26,29,27,1,3
,30-1,31,67000000,[object Object],67000000,[object Object],13000000,[object Object],3300000,[object Object],132,[object Object],,[object Object],,7,,,,604800,[object Object],,1,3,30,6,28,1,5,26,29,30,1,3
,30-2,32,67000000,[object Object],67000000,[object Object],13000000,[object Object],3300000,[object Object],132,[object Object],,[object Object],,7,,,,604800,[object Object],,1,3,30,6,28,1,5,26,29,30,1,3
,30-3,33,67000000,[object Object],67000000,[object Object],13000000,[object Object],3300000,[object Object],132,[object Object],,[object Object],,7,,,,604800,[object Object],,1,3,30,6,28,1,5,26,29,30,1,3
,30-4,34,67000000,[object Object],67000000,[object Object],13000000,[object Object],3300000,[object Object],132,[object Object],,[object Object],,7,,,,604800,[object Object],,1,3,30,6,28,1,5,26,29,30,1,3
,FC1,35,67000000,[object Object],67000000,[object Object],13000000,[object Object],3300000,[object Object],132,[object Object],,[object Object],,7,,,,604800,[object Object],,1,3,30,6,28,1,5,26,29,30,1,3
,FC1-1,36,72000000,[object Object],72000000,[object Object],14000000,[object Object],3600000,[object Object],158,[object Object],,[object Object],,9,,,,777600,[object Object],,1,3,FC1,6,28,1,5,FC1,29,30,1,3
,FC1-2,37,72000000,[object Object],72000000,[object Object],14000000,[object Object],3600000,[object Object],158,[object Object],,[object Object],,9,,,,777600,[object Object],,1,3,FC1,6,28,1,5,FC1,29,30,1,3
,FC1-3,38,72000000,[object Object],72000000,[object Object],14000000,[object Object],3600000,[object Object],158,[object Object],,[object Object],,9,,,,777600,[object Object],,1,3,FC1,6,28,1,5,FC1,29,30,1,3
,FC1-4,39,72000000,[object Object],72000000,[object Object],14000000,[object Object],3600000,[object Object],158,[object Object],,[object Object],,9,,,,777600,[object Object],,1,3,FC1,6,28,1,5,FC1,29,30,1,3
,FC2,40,72000000,[object Object],72000000,[object Object],14000000,[object Object],3600000,[object Object],158,[object Object],,[object Object],,9,,,,777600,[object Object],,1,3,FC1,6,28,1,5,FC1,29,30,1,3
,FC2-1,41,79000000,[object Object],79000000,[object Object],15000000,[object Object],3900000,[object Object],238,[object Object],,[object Object],,11,,,,950400,[object Object],,1,3,FC2,6,FC2,1,5,FC1,29,30,1,3
,FC2-2,42,79000000,[object Object],79000000,[object Object],15000000,[object Object],3900000,[object Object],238,[object Object],,[object Object],,11,,,,950400,[object Object],,1,3,FC2,6,FC2,1,5,FC1,29,30,1,3
,FC2-3,43,79000000,[object Object],79000000,[object Object],15000000,[object Object],3900000,[object Object],238,[object Object],,[object Object],,11,,,,950400,[object Object],,1,3,FC2,6,FC2,1,5,FC1,29,30,1,3
,FC2-4,44,79000000,[object Object],79000000,[object Object],15000000,[object Object],3900000,[object Object],238,[object Object],,[object Object],,11,,,,950400,[object Object],,1,3,FC2,6,FC2,1,5,FC1,29,30,1,3
,FC3,45,79000000,[object Object],79000000,[object Object],15000000,[object Object],3900000,[object Object],238,[object Object],,[object Object],,11,,,,950400,[object Object],,1,3,FC2,6,FC2,1,5,FC1,29,30,1,3
,FC3-1,46,82000000,[object Object],82000000,[object Object],16000000,[object Object],4100000,[object Object],280,[object Object],,[object Object],,12,,,,1036800,[object Object],,1,3,FC3,6,FC2,1,5,FC1,FC3,30,1,3
,FC3-2,47,82000000,[object Object],82000000,[object Object],16000000,[object Object],4100000,[object Object],280,[object Object],,[object Object],,12,,,,1036800,[object Object],,1,3,FC3,6,FC2,1,5,FC1,FC3,30,1,3
,FC3-3,48,82000000,[object Object],82000000,[object Object],16000000,[object Object],4100000,[object Object],280,[object Object],,[object Object],,12,,,,1036800,[object Object],,1,3,FC3,6,FC2,1,5,FC1,FC3,30,1,3
,FC3-4,49,82000000,[object Object],82000000,[object Object],16000000,[object Object],4100000,[object Object],280,[object Object],,[object Object],,12,,,,1036800,[object Object],,1,3,FC3,6,FC2,1,5,FC1,FC3,30,1,3
,FC4,50,82000000,[object Object],82000000,[object Object],16000000,[object Object],4100000,[object Object],280,[object Object],,[object Object],,12,,,,1036800,[object Object],,1,3,FC3,6,FC2,1,5,FC1,FC3,30,1,3
,FC4-1,51,84000000,[object Object],84000000,[object Object],16000000,[object Object],4200000,[object Object],335,[object Object],,[object Object],,14,,,,1209600,[object Object],,1,3,FC4,6,FC2,1,5,FC4,FC3,30,1,3
,FC4-2,52,84000000,[object Object],84000000,[object Object],16000000,[object Object],4200000,[object Object],335,[object Object],,[object Object],,14,,,,1209600,[object Object],,1,3,FC4,6,FC2,1,5,FC4,FC3,30,1,3
,FC4-3,53,84000000,[object Object],84000000,[object Object],16000000,[object Object],4200000,[object Object],335,[object Object],,[object Object],,14,,,,1209600,[object Object],,1,3,FC4,6,FC2,1,5,FC4,FC3,30,1,3
,FC4-4,54,84000000,[object Object],84000000,[object Object],16000000,[object Object],4200000,[object Object],335,[object Object],,[object Object],,14,,,,1209600,[object Object],,1,3,FC4,6,FC2,1,5,FC4,FC3,30,1,3
,FC5,55,84000000,[object Object],84000000,[object Object],16000000,[object Object],4200000,[object Object],335,[object Object],,[object Object],,14,,,,1209600,[object Object],,1,3,FC4,6,FC2,1,5,FC4,FC3,30,1,3
,FC5-1,56,96000000,[object Object],96000000,[object Object],19000000,[object Object],4800000,[object Object],200,[object Object],10,[object Object],,15,,,,1296000,[object Object],,1,3,FC5,6,FC5,1,5,FC4,FC3,30,1,3
,FC5-2,57,96000000,[object Object],96000000,[object Object],19000000,[object Object],4800000,[object Object],200,[object Object],10,[object Object],,15,,,,1296000,[object Object],,1,3,FC5,6,FC5,1,5,FC4,FC3,30,1,3
,FC5-3,58,96000000,[object Object],96000000,[object Object],19000000,[object Object],4800000,[object Object],200,[object Object],10,[object Object],,15,,,,1296000,[object Object],,1,3,FC5,6,FC5,1,5,FC4,FC3,30,1,3
,FC5-4,59,96000000,[object Object],96000000,[object Object],19000000,[object Object],4800000,[object Object],200,[object Object],10,[object Object],,15,,,,1296000,[object Object],,1,3,FC5,6,FC5,1,5,FC4,FC3,30,1,3
,FC6,60,96000000,[object Object],96000000,[object Object],19000000,[object Object],4800000,[object Object],100,[object Object],20,[object Object],,15,,,,1296000,[object Object],,1,3,FC5,6,FC5,1,5,FC4,FC3,30,1,3
,FC6-1,61,100000000,[object Object],100000000,[object Object],21000000,[object Object],5400000,[object Object],240,[object Object],15,[object Object],,18,,,,1555200,[object Object],,1,3,FC6,6,FC5,1,5,FC4,FC6,30,1,3
,FC6-2,62,100000000,[object Object],100000000,[object Object],21000000,[object Object],5400000,[object Object],240,[object Object],15,[object Object],,18,,,,1555200,[object Object],,1,3,FC6,6,FC5,1,5,FC4,FC6,30,1,3
,FC6-3,63,100000000,[object Object],100000000,[object Object],21000000,[object Object],5400000,[object Object],240,[object Object],15,[object Object],,18,,,,1555200,[object Object],,1,3,FC6,6,FC5,1,5,FC4,FC6,30,1,3
,FC6-4,64,100000000,[object Object],100000000,[object Object],21000000,[object Object],5400000,[object Object],240,[object Object],15,[object Object],,18,,,,1555200,[object Object],,1,3,FC6,6,FC5,1,5,FC4,FC6,30,1,3
,FC7,65,100000000,[object Object],100000000,[object Object],21000000,[object Object],5400000,[object Object],120,[object Object],30,[object Object],,18,,,,1555200,[object Object],,1,3,FC6,6,FC5,1,5,FC4,FC6,30,1,3
,FC7-1,66,130000000,[object Object],130000000,[object Object],26000000,[object Object],6600000,[object Object],240,[object Object],20,[object Object],,20,,,,1728000,[object Object],,1,3,FC7,6,FC5,1,5,FC7,FC6,30,1,3
,FC7-2,67,130000000,[object Object],130000000,[object Object],26000000,[object Object],6600000,[object Object],240,[object Object],20,[object Object],,20,,,,1728000,[object Object],,1,3,FC7,6,FC5,1,5,FC7,FC6,30,1,3
,FC7-3,68,130000000,[object Object],130000000,[object Object],26000000,[object Object],6600000,[object Object],240,[object Object],20,[object Object],,20,,,,1728000,[object Object],,1,3,FC7,6,FC5,1,5,FC7,FC6,30,1,3
,FC7-4,69,130000000,[object Object],130000000,[object Object],26000000,[object Object],6600000,[object Object],240,[object Object],20,[object Object],,20,,,,1728000,[object Object],,1,3,FC7,6,FC5,1,5,FC7,FC6,30,1,3
,FC8,70,130000000,[object Object],130000000,[object Object],26000000,[object Object],6600000,[object Object],120,[object Object],40,[object Object],,20,,,,1728000,[object Object],,1,3,FC7,6,FC5,1,5,FC7,FC6,30,1,3
,FC8-1,71,140000000,140000000,140000000,140000000,29000000,29000000,7200000,7200000,280,280,30,30,,13,,,,1123200,1123200,,1,3,FC8,6,FC8,1,5,FC7,FC6,30,1,3
,FC8-2,72,140000000,140000000,140000000,140000000,29000000,29000000,7200000,7200000,280,280,30,30,,13,,,,1123200,1123200,,1,3,FC8,6,FC8,1,5,FC7,FC6,30,1,3
,FC8-3,73,140000000,140000000,140000000,140000000,29000000,29000000,7200000,7200000,280,280,30,30,,13,,,,1123200,1123200,,1,3,FC8,6,FC8,1,5,FC7,FC6,30,1,3
,FC8-4,74,140000000,140000000,140000000,140000000,29000000,29000000,7200000,7200000,280,280,30,30,,13,,,,1123200,1123200,,1,3,FC8,6,FC8,1,5,FC7,FC6,30,1,3
,FC9,75,140000000,140000000,140000000,140000000,29000000,29000000,7200000,7200000,280,280,60,60,,13,,,,1123200,1123200,,1,3,FC8,6,FC8,1,5,FC7,FC6,30,1,3
,FC9-1,76,160000000,[object Object],160000000,[object Object],33000000,[object Object],8400000,[object Object],350,[object Object],70,[object Object],,20,,,,1728000,[object Object],,1,3,FC9,6,FC8,1,5,FC7,FC9,30,1,3
,FC9-2,77,160000000,[object Object],160000000,[object Object],33000000,[object Object],8400000,[object Object],350,[object Object],70,[object Object],,20,,,,1728000,[object Object],,1,3,FC9,6,FC8,1,5,FC7,FC9,30,1,3
,FC9-3,78,160000000,[object Object],160000000,[object Object],33000000,[object Object],8400000,[object Object],350,[object Object],70,[object Object],,20,,,,1728000,[object Object],,1,3,FC9,6,FC8,1,5,FC7,FC9,30,1,3
,FC9-4,79,160000000,[object Object],160000000,[object Object],33000000,[object Object],8400000,[object Object],350,[object Object],70,[object Object],,20,,,,1728000,[object Object],,1,3,FC9,6,FC8,1,5,FC7,FC9,30,1,3
,FC10,80,160000000,[object Object],160000000,[object Object],33000000,[object Object],8400000,[object Object],175,[object Object],140,[object Object],,20,,,,1728000,[object Object],,1,3,FC9,6,FC8,1,5,FC7,FC9,30,1,3

,Total,,6344100000,700000000,6345038385,700000000,1268107660,145000000,323135660,36000000,11750,1400,870,180,[object Object],901,206,690,6,78629406,5616000

,,,,,,,,,,,,,,,,,,,Days,910,65
,,,,,,,,,,,,,,,,,,,Hours,1,[object Object]
,,,,,,,,,,,,,,,,,,,Minutes,30,[object Object]
,,,,,,,,,,,,,,,,,,,Seconds,6,[object Object]


























